policy_name,scenario,episode_id,replacement_count,spawn_count,remove_count
random,eval_flow_id,0,68,73,68
random,eval_flow_id,1,118,126,118
random,eval_flow_id,2,102,109,102
random,eval_flow_id,3,112,120,112
random,eval_flow_id,4,121,129,121
random,eval_flow_id,5,80,86,80
random,eval_flow_id,6,73,79,73
random,eval_flow_id,7,85,90,85
random,eval_flow_id,8,67,72,67
random,eval_flow_id,9,102,109,102
random,eval_flow_id,10,83,88,83
random,eval_flow_id,11,100,107,100
random,eval_flow_id,12,63,69,63
random,eval_flow_id,13,95,103,95
random,eval_flow_id,14,73,78,73
random,eval_flow_id,15,93,99,93
random,eval_flow_id,16,96,102,96
random,eval_flow_id,17,56,61,56
random,eval_flow_id,18,95,103,95
random,eval_flow_id,19,128,135,128
straight_line,eval_flow_id,0,30,36,30
straight_line,eval_flow_id,1,11,16,11
straight_line,eval_flow_id,2,12,18,12
straight_line,eval_flow_id,3,10,17,10
straight_line,eval_flow_id,4,7,15,7
straight_line,eval_flow_id,5,33,40,33
straight_line,eval_flow_id,6,12,18,12
straight_line,eval_flow_id,7,5,13,5
straight_line,eval_flow_id,8,4,9,4
straight_line,eval_flow_id,9,4,9,4
straight_line,eval_flow_id,10,14,22,14
straight_line,eval_flow_id,11,51,59,51
straight_line,eval_flow_id,12,19,25,19
straight_line,eval_flow_id,13,6,13,6
straight_line,eval_flow_id,14,19,25,19
straight_line,eval_flow_id,15,13,21,13
straight_line,eval_flow_id,16,11,16,11
straight_line,eval_flow_id,17,10,18,10
straight_line,eval_flow_id,18,3,8,3
straight_line,eval_flow_id,19,7,13,7
reactive,eval_flow_id,0,148,155,148
reactive,eval_flow_id,1,95,101,95
reactive,eval_flow_id,2,142,150,142
reactive,eval_flow_id,3,164,170,164
reactive,eval_flow_id,4,77,82,77
reactive,eval_flow_id,5,57,62,57
reactive,eval_flow_id,6,125,132,125
reactive,eval_flow_id,7,53,58,53
reactive,eval_flow_id,8,96,103,96
reactive,eval_flow_id,9,118,124,118
reactive,eval_flow_id,10,137,143,137
reactive,eval_flow_id,11,115,121,115
reactive,eval_flow_id,12,125,133,125
reactive,eval_flow_id,13,103,109,103
reactive,eval_flow_id,14,48,55,48
reactive,eval_flow_id,15,93,98,93
reactive,eval_flow_id,16,44,49,44
reactive,eval_flow_id,17,177,183,177
reactive,eval_flow_id,18,134,139,134
reactive,eval_flow_id,19,131,139,131
random,eval_flow_high_density,0,108,117,108
random,eval_flow_high_density,1,122,132,122
random,eval_flow_high_density,2,103,112,103
random,eval_flow_high_density,3,115,124,115
random,eval_flow_high_density,4,110,118,110
random,eval_flow_high_density,5,105,114,105
random,eval_flow_high_density,6,123,133,123
random,eval_flow_high_density,7,106,114,106
random,eval_flow_high_density,8,113,122,113
random,eval_flow_high_density,9,109,117,109
random,eval_flow_high_density,10,117,127,117
random,eval_flow_high_density,11,102,110,102
random,eval_flow_high_density,12,125,134,125
random,eval_flow_high_density,13,88,96,88
random,eval_flow_high_density,14,119,128,119
random,eval_flow_high_density,15,113,122,113
random,eval_flow_high_density,16,137,147,137
random,eval_flow_high_density,17,98,106,98
random,eval_flow_high_density,18,124,133,124
random,eval_flow_high_density,19,125,134,125
straight_line,eval_flow_high_density,0,5,13,5
straight_line,eval_flow_high_density,1,13,22,13
straight_line,eval_flow_high_density,2,12,22,12
straight_line,eval_flow_high_density,3,8,18,8
straight_line,eval_flow_high_density,4,8,18,8
straight_line,eval_flow_high_density,5,19,29,19
straight_line,eval_flow_high_density,6,3,11,3
straight_line,eval_flow_high_density,7,28,37,28
straight_line,eval_flow_high_density,8,31,39,31
straight_line,eval_flow_high_density,9,16,24,16
straight_line,eval_flow_high_density,10,4,12,4
straight_line,eval_flow_high_density,11,8,17,8
straight_line,eval_flow_high_density,12,9,17,9
straight_line,eval_flow_high_density,13,32,42,32
straight_line,eval_flow_high_density,14,14,24,14
straight_line,eval_flow_high_density,15,2,10,2
straight_line,eval_flow_high_density,16,14,22,14
straight_line,eval_flow_high_density,17,10,19,10
straight_line,eval_flow_high_density,18,31,39,31
straight_line,eval_flow_high_density,19,8,17,8
reactive,eval_flow_high_density,0,201,209,201
reactive,eval_flow_high_density,1,164,174,164
reactive,eval_flow_high_density,2,164,174,164
reactive,eval_flow_high_density,3,165,173,165
reactive,eval_flow_high_density,4,159,168,159
reactive,eval_flow_high_density,5,135,143,135
reactive,eval_flow_high_density,6,179,189,179
reactive,eval_flow_high_density,7,164,174,164
reactive,eval_flow_high_density,8,128,136,128
reactive,eval_flow_high_density,9,186,196,186
reactive,eval_flow_high_density,10,170,180,170
reactive,eval_flow_high_density,11,132,140,132
reactive,eval_flow_high_density,12,131,139,131
reactive,eval_flow_high_density,13,177,187,177
reactive,eval_flow_high_density,14,130,138,130
reactive,eval_flow_high_density,15,151,159,151
reactive,eval_flow_high_density,16,169,179,169
reactive,eval_flow_high_density,17,151,160,151
reactive,eval_flow_high_density,18,127,136,127
reactive,eval_flow_high_density,19,200,210,200
random,eval_flow_high_speed,0,258,266,258
random,eval_flow_high_speed,1,243,251,243
random,eval_flow_high_speed,2,135,140,135
random,eval_flow_high_speed,3,225,232,225
random,eval_flow_high_speed,4,190,197,190
random,eval_flow_high_speed,5,244,252,244
random,eval_flow_high_speed,6,234,241,234
random,eval_flow_high_speed,7,242,250,242
random,eval_flow_high_speed,8,137,142,137
random,eval_flow_high_speed,9,205,211,205
random,eval_flow_high_speed,10,150,155,150
random,eval_flow_high_speed,11,174,179,174
random,eval_flow_high_speed,12,234,242,234
random,eval_flow_high_speed,13,191,198,191
random,eval_flow_high_speed,14,225,233,225
random,eval_flow_high_speed,15,250,258,250
random,eval_flow_high_speed,16,195,200,195
random,eval_flow_high_speed,17,204,211,204
random,eval_flow_high_speed,18,222,230,222
random,eval_flow_high_speed,19,190,196,190
straight_line,eval_flow_high_speed,0,14,21,14
straight_line,eval_flow_high_speed,1,17,24,17
straight_line,eval_flow_high_speed,2,20,28,20
straight_line,eval_flow_high_speed,3,7,14,7
straight_line,eval_flow_high_speed,4,4,11,4
straight_line,eval_flow_high_speed,5,2,9,2
straight_line,eval_flow_high_speed,6,4,9,4
straight_line,eval_flow_high_speed,7,13,21,13
straight_line,eval_flow_high_speed,8,8,16,8
straight_line,eval_flow_high_speed,9,24,32,24
straight_line,eval_flow_high_speed,10,18,26,18
straight_line,eval_flow_high_speed,11,8,13,8
straight_line,eval_flow_high_speed,12,7,14,7
straight_line,eval_flow_high_speed,13,11,16,11
straight_line,eval_flow_high_speed,14,8,14,8
straight_line,eval_flow_high_speed,15,8,15,8
straight_line,eval_flow_high_speed,16,14,22,14
straight_line,eval_flow_high_speed,17,29,36,29
straight_line,eval_flow_high_speed,18,17,23,17
straight_line,eval_flow_high_speed,19,26,34,26
reactive,eval_flow_high_speed,0,285,293,285
reactive,eval_flow_high_speed,1,221,229,221
reactive,eval_flow_high_speed,2,205,211,205
reactive,eval_flow_high_speed,3,263,271,263
reactive,eval_flow_high_speed,4,194,200,194
reactive,eval_flow_high_speed,5,187,193,187
reactive,eval_flow_high_speed,6,239,246,239
reactive,eval_flow_high_speed,7,136,143,136
reactive,eval_flow_high_speed,8,226,233,226
reactive,eval_flow_high_speed,9,246,253,246
reactive,eval_flow_high_speed,10,278,286,278
reactive,eval_flow_high_speed,11,373,381,373
reactive,eval_flow_high_speed,12,153,159,153
reactive,eval_flow_high_speed,13,261,269,261
reactive,eval_flow_high_speed,14,237,244,237
reactive,eval_flow_high_speed,15,196,202,196
reactive,eval_flow_high_speed,16,249,257,249
reactive,eval_flow_high_speed,17,119,124,119
reactive,eval_flow_high_speed,18,207,213,207
reactive,eval_flow_high_speed,19,214,220,214
random,eval_flow_high_threat,0,76,83,76
random,eval_flow_high_threat,1,75,82,75
random,eval_flow_high_threat,2,73,81,73
random,eval_flow_high_threat,3,63,69,63
random,eval_flow_high_threat,4,69,76,69
random,eval_flow_high_threat,5,75,83,75
random,eval_flow_high_threat,6,82,90,82
random,eval_flow_high_threat,7,70,77,70
random,eval_flow_high_threat,8,77,84,77
random,eval_flow_high_threat,9,58,63,58
random,eval_flow_high_threat,10,56,61,56
random,eval_flow_high_threat,11,55,61,55
random,eval_flow_high_threat,12,46,51,46
random,eval_flow_high_threat,13,87,94,87
random,eval_flow_high_threat,14,84,91,84
random,eval_flow_high_threat,15,53,58,53
random,eval_flow_high_threat,16,56,61,56
random,eval_flow_high_threat,17,53,58,53
random,eval_flow_high_threat,18,83,90,83
random,eval_flow_high_threat,19,87,95,87
straight_line,eval_flow_high_threat,0,4,10,4
straight_line,eval_flow_high_threat,1,5,13,5
straight_line,eval_flow_high_threat,2,5,12,5
straight_line,eval_flow_high_threat,3,5,11,5
straight_line,eval_flow_high_threat,4,6,11,6
straight_line,eval_flow_high_threat,5,7,13,7
straight_line,eval_flow_high_threat,6,1,9,1
straight_line,eval_flow_high_threat,7,6,13,6
straight_line,eval_flow_high_threat,8,11,16,11
straight_line,eval_flow_high_threat,9,7,14,7
straight_line,eval_flow_high_threat,10,12,19,12
straight_line,eval_flow_high_threat,11,6,12,6
straight_line,eval_flow_high_threat,12,1,6,1
straight_line,eval_flow_high_threat,13,17,23,17
straight_line,eval_flow_high_threat,14,8,15,8
straight_line,eval_flow_high_threat,15,3,11,3
straight_line,eval_flow_high_threat,16,9,15,9
straight_line,eval_flow_high_threat,17,17,25,17
straight_line,eval_flow_high_threat,18,5,10,5
straight_line,eval_flow_high_threat,19,3,10,3
reactive,eval_flow_high_threat,0,111,117,111
reactive,eval_flow_high_threat,1,175,181,175
reactive,eval_flow_high_threat,2,101,108,101
reactive,eval_flow_high_threat,3,104,111,104
reactive,eval_flow_high_threat,4,30,35,30
reactive,eval_flow_high_threat,5,149,154,149
reactive,eval_flow_high_threat,6,88,95,88
reactive,eval_flow_high_threat,7,59,64,59
reactive,eval_flow_high_threat,8,27,32,27
reactive,eval_flow_high_threat,9,37,42,37
reactive,eval_flow_high_threat,10,228,235,228
reactive,eval_flow_high_threat,11,331,339,331
reactive,eval_flow_high_threat,12,70,76,70
reactive,eval_flow_high_threat,13,113,120,113
reactive,eval_flow_high_threat,14,34,39,34
reactive,eval_flow_high_threat,15,99,106,99
reactive,eval_flow_high_threat,16,192,198,192
reactive,eval_flow_high_threat,17,196,202,196
reactive,eval_flow_high_threat,18,201,208,201
reactive,eval_flow_high_threat,19,106,114,106
